OBJECTID,FACILITYID,INSTALLDATE,MATERIAL,DIAMETER,MAINSHAPE,LINEDYEAR,LINERTYPE,FROMMH,TOMH,WATERTYPE,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,SUMFLOW,LASTUPDATE,LASTEDITOR,DOWNELEV,UPELEV,SLOPE,SHAPE_Length,geometry,ResourceID
1374,1425-555,19720101,Vitrified Clay,8",Circular,,,MH-1425,MH-555,Sewage,True,True,Our Agency,Our Agency,,20150518121942,Esri,689.93,691.37,0.596297528728646,241.4901841150087,"LINESTRING M (-88.17604006265084 41.77397287306313 0,-88.17595075262791 41.77397803139314 24.433780000000002,-88.17583425007494 41.77398476223109 56.30704000000001,-88.175636588566 41.77399617962335 110.38404000000001,-88.1755184956586 41.77400300159604 142.69237,-88.17524270285759 41.774018930731096 218.14478000000003,-88.1751573708456 41.7740238580226 241.49018000000004)",4ca2e579-a89c-4679-8c70-aa322dba867a
1375,842-1718,19720101,Vitrified Clay,8",Circular,,,MH-842,MH-1718,Sewage,True,True,Our Agency,Our Agency,,20150518121942,Esri,688.5799999999999,690,0.386711809656176,367.19850921089676,"LINESTRING M (-88.18148106837847 41.77363172534257 0,-88.18136974376374 41.77363895213365 30.480480000000004,-88.1812615131139 41.773645977629094 60.11383000000001,-88.18109896439374 41.77365653071861 104.61940000000001,-88.18102420339659 41.773661382736755 125.08879000000002,-88.18084493838715 41.773673019852815 174.17120000000003,-88.18075640114796 41.77367876638076 198.41249000000002,-88.18056130158523 41.77369143004861 251.83032000000003,-88.18047745701078 41.77369687287605 274.7868,-88.18031350900692 41.773707513929224 319.67537000000004,-88.18023948289913 41.77371231689538 339.94348,-88.18013993852878 41.773718778475946 367.19851000000006)",f9c92d06-dcd7-408b-8883-4300fc3bca90
1376,2354-2044,19830101,Unknown,8",Circular,,,MH-2354,MH-2044,Sewage,True,True,Our Agency,Our Agency,,20150518121942,Esri,671.2,670.1700000000001,1.24976701997477,82.41536090629747,"LINESTRING M (-88.16754904844642 41.77307227866796 0,-88.1675274468201 41.773091481977765 9.147990000000002,-88.16744185875959 41.77316755715835 45.39040000000001,-88.167354424835 41.77324527637369 82.41536)",8fc473f7-c7d5-4974-8dc5-bc3ee33ab737
1377,832-831,19850101,Unknown,8",Circular,,,MH-832,MH-831,Sewage,True,True,Our Agency,Our Agency,,20150518121942,Esri,686.4,690,0.908966951757877,396.0540031777702,"LINESTRING M (-88.17689060902296 41.77990380826197 0,-88.17686186540061 41.779912027250205 8.39234,-88.1765169883679 41.78001061589485 109.08348000000002,-88.17619475839992 41.780102730256 203.16237000000004,-88.17573359770327 41.78023455821291 337.80330000000004,-88.17556095717428 41.7802839078637 388.20733000000007,-88.1755340814126 41.78029159066694 396.05400000000003)",a2fab816-b663-4f6e-a442-2ba6db984739
1378,828-1710,19770101,Unknown,8",Circular,,,MH-828,MH-1710,Sewage,True,True,Our Agency,Our Agency,,20150518121942,Esri,683.84,686.02,1.66694067973453,130.77849898936583,"LINESTRING M (-88.17411111094131 41.77817409135182 0,-88.1736439134181 41.7780934051084 130.7785)",86e6a8ae-0688-42e0-9bc1-405dfee2c50d
1379,835-548,19770101,Unknown,8",Circular,,,MH-835,MH-548,Sewage,True,True,Our Agency,Our Agency,,20150518121942,Esri,696.35,694.47,0.801523394152721,234.55335349098846,"LINESTRING M (-88.17794227206264 41.7783370284585 0,-88.17770508561351 41.77796510216856 150.17556000000002,-88.17757181906642 41.77775613175575 234.55335000000002)",4c2d683c-c00c-4d1b-bd47-b4a0e35a986a
1380,836-1708,19690101,Vitrified Clay,8",Circular,,,MH-836,MH-1708,Sewage,True,True,Our Agency,Our Agency,,20150518121942,Esri,689.9000000000001,691.02,0.537035500318429,208.5523209053989,"LINESTRING M (-88.1771090060038 41.77770955510801 0,-88.17674066938534 41.77727489471258 187.56261000000003,-88.17669991236839 41.777226034941094 208.55232000000004)",c9cd1c11-9a64-4fd4-b3fb-d4579b280c89
1381,1730-1698,19680101,Unknown,8",Circular,,,MH-1730,MH-1698,Sewage,True,True,Our Agency,Our Agency,,20150518121942,Esri,669.31,674.27,6.12285479062484,81.0079639254987,"LINESTRING M (-88.16910087513838 41.784035288759796 0,-88.16898475142713 41.78383067196518 81.00796000000001)",b6ead2ef-6efc-4ae3-bf89-33d8bbd7961d
1382,1701-1118,19660101,Reinforced Concrete,36",Circular,,,MH-1701,MH-1118,Sewage,True,True,Our Agency,Our Agency,,20150518121942,Esri,657.844,659.03,0.577124693931265,205.50151682491892,"LINESTRING M (-88.17224552711212 41.78133282370996 0,-88.17223118251373 41.781341915269714 5.126580000000001,-88.1719712355159 41.781506247563755 97.92922000000002,-88.17167839131409 41.78170399947152 205.50152000000003)",7a5d43f4-fafc-4c61-9533-de4aa974a6af
1383,2002-1440,19760101,Reinforced Concrete,36",Circular,,,MH-2002,MH-1440,Sewage,True,True,Our Agency,Our Agency,,20150518121942,Esri,669.02,673.86,2.54019109502127,190.53684620367127,"LINESTRING M (-88.17978406228012 41.78080537933622 0,-88.17929923711053 41.78093556300387 140.48460000000003,-88.17912650229148 41.78098194578183 190.53685000000002)",2a6916ee-95f2-4652-b33c-5f6b5a18f1a0
1384,782-199,20000101,Unknown,8",Circular,,,MH-782,MH-199,Sewage,True,True,Our Agency,Our Agency,,20150518121942,Esri,691.32,690.29,0.519085372775176,198.42593415673036,"LINESTRING M (-88.16393706730926 41.77322223632675 0,-88.1632229825237 41.773326069189054 198.42593000000002)",24a7f578-48cf-4bc4-bb56-a845abb6e952
1385,811-228,19850101,Unknown,8",Circular,,,MH-811,MH-228,Sewage,True,True,Private,Private,,20150518121942,Esri,690.87,692.13,0.765360520763931,164.62829814403585,"LINESTRING M (-88.16161622670008 41.78184685342258 0,-88.1615515707061 41.78184290591403 17.692840000000004,-88.16101461399258 41.78181013891029 164.62830000000002)",f0ea0976-f3a0-40b1-b6e3-8a659b105fab
1386,1979-2295,19610101,Unknown,8",Circular,,,MH-1979,MH-2295,Sewage,True,True,Our Agency,Our Agency,,20150518121942,Esri,685.1800000000001,686.09,0.395292371327448,230.20935034596639,"LINESTRING M (-88.15546572805418 41.773141918223345 0,-88.15540445677424 41.77313990827596 16.72942,-88.15536365334738 41.77313857196263 27.870300000000004,-88.15510320807628 41.77313002533691 98.98195000000001,-88.15506009558472 41.77312861150383 110.75332000000002,-88.15486792584015 41.77312230863047 163.22307000000004,-88.15486294447255 41.773122146930326 164.58315000000002,-88.1546225895378 41.77311426157669 230.20935000000003)",df03dcb0-b7ad-4923-980a-bb98cc4ae57d
1387,786-2296,19610101,Unknown,8",Circular,,,MH-786,MH-2296,Sewage,True,True,Our Agency,Our Agency,,20150518121942,Esri,683.23,684.31,0.468625352282038,230.46128314243214,"LINESTRING M (-88.15376869366067 41.77309157985218 0,-88.15372101759455 41.773090300641655 13.013290000000001,-88.15363786771488 41.77308806827096 35.70924000000001,-88.1534384189166 41.773082712310206 90.14929000000001,-88.15340153438059 41.773081721773785 100.21702000000002,-88.15317200096158 41.77307555742319 162.86875000000003,-88.15316256485316 41.773075304029504 165.44436000000002,-88.15292436628478 41.773068905906456 230.46128000000004)",4fb8bdd7-131a-4eac-9c81-9b1688738fbd
1388,612-518,19370101,Unknown,8",Circular,,,MH-612,MH-518,Sewage,True,True,Our Agency,Our Agency,,20150518121942,Esri,671.4399999999999,679.08,4.18283114966377,182.65140826002846,"LINESTRING M (-88.14714091835427 41.772880963750346 0,-88.14720713553403 41.772882734015155 18.0741,-88.14749814890948 41.772890507947736 97.50665000000001,-88.14781008982813 41.77289884165139 182.65141000000003)",108c8586-57dd-4a07-8720-7372310b6dd1
1389,1972-202,19370101,Vitrified Clay,10",Circular,,,MH-1972,MH-202,Sewage,True,True,Our Agency,Our Agency,,20150518121943,Esri,682.63,684.42,0.620324606817188,288.55859985697526,"LINESTRING M (-88.16082695869898 41.772243211913334 0,-88.16078589180842 41.77224206890771 11.209990000000001,-88.16073166913691 41.772240557683254 26.011130000000005,-88.16056866679968 41.772236015250265 70.50579,-88.1604754518295 41.77223341884948 95.95062000000001,-88.16024320217353 41.77222694941184 159.34767000000002,-88.16022626646863 41.77222647641502 163.97061000000002,-88.16002967179662 41.77222100204261 217.63492000000002,-88.15997044614309 41.772219350558665 233.80173000000002,-88.15976984910522 41.772213762559 288.55860000000007)",6a2b7045-ef0d-4e44-8982-575c903c1fa6
1390,506-2293,19320101,Vitrified Clay,12",Circular,,,MH-506,MH-2293,Sewage,True,True,Our Agency,Our Agency,,20150518121943,Esri,669.2,670.38,0.254985905276149,462.7706769603654,"LINESTRING M (-88.15637592096255 41.77214428310289 0,-88.15591639503747 41.77213056415242 125.44960000000002,-88.15548268635207 41.77211761262675 243.85122000000004,-88.15520214699349 41.77210923319854 320.43795000000006,-88.15509363298455 41.772105993761464 350.06205000000006,-88.15493031721087 41.772101113309624 394.6470100000001,-88.15473706420617 41.77209534065076 447.40474000000006,-88.1546807783772 41.77209365949716 462.7706800000001)",37f9be4f-351a-4e46-ac1d-f0fa35272ef8
1391,777-192,19660101,Vitrified Clay,24",Circular,,,MH-777,MH-192,Sewage,True,True,Our Agency,Our Agency,,20150518121943,Esri,663.71,664.71,2.56909143941145,38.92426655818406,"LINESTRING M (-88.14973426717954 41.77186828922023 0,-88.14966588514255 41.771853346421125 19.431870000000004,-88.1495974672609 41.77183791012428 38.92427000000001)",e86bd3e0-bb05-4536-a458-f261b4f1fa3b
