OBJECTID,FACILITYID,INSTALLDATE,MATERIAL,LINETYPE,LOCDESC,DIAMETER,DISTANCE,WATERTYPE,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,LASTUPDATE,LASTEDITOR,SHAPE_Length,geometry
2400,73168,000000,Vitrified Clay,,716 N Ellsworth St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,64.74308116987811,"LINESTRING (-88.14423496813954 41.783457081616355,-88.14439618854094 41.78346324423928,-88.14447204522536 41.78346614568248)"
2401,73170,000000,Vitrified Clay,,300 E Ogden Av 306,6",,Sewage,True,True,Private,Private,20100421101515,Esri,104.38388764415873,"LINESTRING (-88.14254115425214 41.78556838780903,-88.14284180543537 41.78557642454275,-88.14292369441604 41.78557753178404)"
2402,73174,000000,Vitrified Clay,,224 S Charles Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,56.20771272859715,"LINESTRING (-88.12853754106875 41.77122872188616,-88.12871494545605 41.7712250943778,-88.12874351552766 41.771224511399936)"
2403,73178,000000,Vitrified Clay,,36 S Julian St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,58.49473381933354,"LINESTRING (-88.13648782244864 41.773771549497546,-88.1367021992448 41.77376753902483)"
2404,73182,000000,Vitrified Clay,,124 Center St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,56.89867390365158,"LINESTRING (-88.14606112212998 41.776691893330415,-88.14619859397841 41.77669560533824,-88.14626958863458 41.77669752168108)"
2405,73184,000000,Vitrified Clay,,323 N Charles Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,66.90672680310729,"LINESTRING (-88.13034466821672 41.778626964153524,-88.13019452546182 41.778626811324486,-88.13017274604937 41.7786273355405,-88.13017181373363 41.7786822479434)"
2406,73189,000000,Vitrified Clay,,915 E Chicago Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,40.6841687405688,"LINESTRING (-88.13491516750562 41.773884198898834,-88.1348004784132 41.773880735151806,-88.1347661389166 41.773879698012344)"
2407,73191,000000,Vitrified Clay,,132 Center St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,49.46033148644942,"LINESTRING (-88.1460805980257 41.776854061649104,-88.1461905252763 41.77685702648621,-88.14626181237197 41.77685895141348)"
2408,73192,000000,Vitrified Clay,,214 North Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,41.65512701053642,"LINESTRING (-88.14442798481673 41.778362570378796,-88.1444227816844 41.77842800833298,-88.14441890998361 41.778476682810336)"
2409,73193,000000,Vitrified Clay,,323 N Loomis St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,40.87384965997186,"LINESTRING (-88.14242373147118 41.77902581254795,-88.1423133407394 41.779017327710704,-88.14227465817196 41.77901435431496)"
2410,73194,000000,Vitrified Clay,,363 S Julian St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,57.956803176258134,"LINESTRING (-88.1363167908498 41.770229074710194,-88.13627358743746 41.77021019650351,-88.1361321778406 41.77015036054593)"
2411,73195,000000,Vitrified Clay,,936 Greensboro Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,37.95859657504889,"LINESTRING (-88.13360324713759 41.77562338781158,-88.13360226141583 41.77571275709762,-88.13360209883491 41.77572755429201)"
2412,73196,000000,Vitrified Clay,,577 Plank Rd ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,31.544349392949425,"LINESTRING (-88.13209826129291 41.78202605242086,-88.13202467084955 41.78197428139502,-88.13201405469113 41.781966710550435)"
2413,73198,000000,Vitrified Clay,,626 Windham Ln #02,6",,Sewage,True,True,Private,Private,20100421101515,Esri,33.23874683214726,"LINESTRING (-88.137756102292 41.784128313578194,-88.1377445340492 41.7842080605886,-88.13774403869547 41.78421905587088)"
2414,73199,000000,Vitrified Clay,,596 Windham Ln ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,32.99734651987533,"LINESTRING (-88.13851943974014 41.78419172021021,-88.1385096844232 41.784270961666635,-88.13850851810426 41.784281904493675)"
2415,73206,000000,Vitrified Clay,,1070 E Hillside Rd ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,127.59710032091438,"LINESTRING (-88.12887321933427 41.76570808029994,-88.12886652151546 41.7660582104995)"
2416,73231,000000,Vitrified Clay,,619 S Julian St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,113.43104634599072,"LINESTRING (-88.13574034948974 41.76530419962279,-88.13552861495344 41.76530675247564,-88.13532461587805 41.76530921112626)"
2417,73232,000000,Vitrified Clay,,455 S Columbia St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,111.29511682427399,"LINESTRING (-88.13717977121561 41.768276882319235,-88.13756953343254 41.76823732688667,-88.13758394137433 41.768235342721034)"
2418,73233,000000,Vitrified Clay,,855 E Porter Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,105.44844506253826,"LINESTRING (-88.13401869646016 41.770184923205726,-88.13414943432154 41.770028808831185,-88.13422402326528 41.76993973899931)"
2419,73243,000000,Vitrified Clay,,619 Wehrli Dr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,100.1310211101707,"LINESTRING (-88.13889854309582 41.76553112248724,-88.13869569568978 41.76552955183395,-88.13853152586451 41.765528280501215)"
2420,73245,000000,Vitrified Clay,,519 S Sleight St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,109.21696045402162,"LINESTRING (-88.13994858270945 41.767052594062505,-88.13969882453401 41.76706158312372,-88.1395486931913 41.76706698879883)"
2421,73246,000000,Vitrified Clay,,449 S Sleight St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,104.21382478794442,"LINESTRING (-88.13999321041851 41.76795184479369,-88.14033634103482 41.76789491178305,-88.14036593272797 41.76788919825101)"
2422,73247,000000,Vitrified Clay,,416 S Loomis St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,100.4023439864828,"LINESTRING (-88.1409874638467 41.768705816176514,-88.14064238923383 41.76876286040735,-88.14062807152709 41.768765226862364)"
2423,73252,000000,Vitrified Clay,,363 S Wright St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,101.16601242032394,"LINESTRING (-88.13911065274135 41.76979814339348,-88.13946606313488 41.769742647335384,-88.13947369182837 41.7697414447153)"
2424,73271,000000,Vitrified Clay,,654 Melody Ln ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,95.69592860143078,"LINESTRING (-88.1470268963006 41.76412303315315,-88.14720915256841 41.764125373273366,-88.14737761140898 41.764127764604396)"
2425,73274,000000,Vitrified Clay,,615 S Sleight St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,96.24055232022843,"LINESTRING (-88.14090738335582 41.76576231579202,-88.14077936035025 41.76567605879837,-88.14064515907964 41.76558563881476)"
2426,73276,000000,Vitrified Clay,,1061 Prairie Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,95.78548771776202,"LINESTRING (-88.12993534486098 41.76754745936172,-88.129935088118 41.767372494587875,-88.12993495926193 41.76728459442872)"
2427,73277,000000,Vitrified Clay,,1055 Prairie Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,98.80764743147327,"LINESTRING (-88.13028060149475 41.767556816201015,-88.13028213564839 41.76737387735925,-88.1302828756213 41.76728566270762)"
2428,73280,000000,Vitrified Clay,,1034 Sylvan Cr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,95.82382287848156,"LINESTRING (-88.13031112670565 41.7684240277568,-88.1306623778856 41.768421761328824)"
2429,73281,000000,Vitrified Clay,,420 S Sleight St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,97.8004699946265,"LINESTRING (-88.13955417142267 41.76878982923826,-88.13921850132826 41.76884564164846,-88.13920418711874 41.76884802143732)"
2430,73282,000000,Vitrified Clay,,1049 Sylvan Cr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,99.98779367361483,"LINESTRING (-88.13092684802668 41.76911740907615,-88.130560886694 41.76910210134167)"
2431,73293,000000,Vitrified Clay,,730 E Hillside Rd ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,98.49843716385965,"LINESTRING (-88.13581328068231 41.76579389774964,-88.13582538822611 41.76596578658235,-88.13581633873106 41.76606373526271)"
2432,73294,000000,Vitrified Clay,,830 Prairie Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,82.7586499774799,"LINESTRING (-88.13473475502767 41.767021520467935,-88.13474291655018 41.76721209143253,-88.13474447588862 41.76724851929492)"
2433,73295,000000,Vitrified Clay,,417 S Sleight St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,116.4129696217319,"LINESTRING (-88.1402574484301 41.76899013521086,-88.1406488096525 41.768925455449136,-88.14067372380545 41.768920000502334)"
2434,73296,000000,Vitrified Clay,,410 S Sleight St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,105.03799072703738,"LINESTRING (-88.13966759209832 41.76908054208168,-88.13931213268889 41.76913880821046,-88.13929139374002 41.76914197038171)"
2435,73339,000000,Vitrified Clay,,901 E Hillside Rd ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,71.63028356767111,"LINESTRING (-88.13295796152934 41.766261453516485,-88.13296909160742 41.76615523523935,-88.13297391260652 41.76606527645655)"
2436,73342,000000,Vitrified Clay,,469 E Porter Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,58.70264961125902,"LINESTRING (-88.14047290129515 41.76945506907258,-88.14044746636718 41.76936851122984,-88.14042483605517 41.76929804850735)"
2437,73351,000000,Vitrified Clay,,625 Wellner Rd ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,104.06203127787909,"LINESTRING (-88.14007126075475 41.765325795562376,-88.13986869505464 41.76532433189649,-88.13968983350715 41.76532303747951)"
2438,73367,000000,Vitrified Clay,,1251 Cheshire Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,124.87611425247279,"LINESTRING (-88.12130506508002 41.76931318803899,-88.1213463295111 41.76897188463074)"
2439,73382,000000,Vitrified Clay,,1225 Edward Rd ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,118.35404917875123,"LINESTRING (-88.12310417130486 41.76817399881974,-88.12290818086863 41.767884229468756)"
2440,73384,000000,Vitrified Clay,,329 Richard Rd ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,114.92496400170079,"LINESTRING (-88.12500860669722 41.769381849586665,-88.12458741157184 41.76938854462062)"
2441,73405,000000,Vitrified Clay,,1155 Cheshire Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,101.30474706617805,"LINESTRING (-88.12580175636433 41.769061338006836,-88.12586283525529 41.768787112597515)"
2442,73442,000000,Vitrified Clay,,1218 Cheshire Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,81.83172436553595,"LINESTRING (-88.12360309015273 41.76849711518362,-88.12374073926365 41.768696647698356)"
2443,73443,000000,Vitrified Clay,,1130 Cheshire Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,79.53497217744965,"LINESTRING (-88.12709951474365 41.76874988961988,-88.12701752961404 41.7689593509334)"
2444,73454,000000,Vitrified Clay,,404 Stafford Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,67.84034787201615,"LINESTRING (-88.12540542485137 41.76837873830844,-88.12564328392557 41.76843306976484)"
2445,73455,000000,Vitrified Clay,,1118 Cheshire Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,69.57491678661451,"LINESTRING (-88.12791909333595 41.768883159535875,-88.12787077051676 41.76907063620435)"
2446,73467,000000,Vitrified Clay,,1238 Arthur Rd ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,63.823713614235004,"LINESTRING (-88.1226333383828 41.76642728642363,-88.12255501404766 41.766588771793174,-88.12255348601846 41.766591920267544)"
2447,73473,000000,Vitrified Clay,,324 Richard Rd ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,66.29389521106918,"LINESTRING (-88.1243318986752 41.7694933516312,-88.12457358202279 41.76951240336002)"
2448,73499,000000,Vitrified Clay,,1244 Arthur Rd ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,51.626499819746115,"LINESTRING (-88.12230380067953 41.766375181642815,-88.12222718218588 41.76650472947308)"
2449,73513,000000,Vitrified Clay,,621 Balmoral Cr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,49.488604734860075,"LINESTRING (-88.12668686400306 41.764895692084956,-88.12663208771417 41.76501377010292,-88.12662636031109 41.76502369893158)"
2450,73514,000000,Vitrified Clay,,605 Balmoral Cr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,49.559291353655325,"LINESTRING (-88.12797752572688 41.764941660395465,-88.12792386338778 41.76505508343062,-88.12791687360888 41.76506986213545)"
2451,73522,000000,Vitrified Clay,,1257 Arthur Rd ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,69.57449801371516,"LINESTRING (-88.12159125509226 41.76663360438642,-88.12137285887238 41.766535004277245)"
2452,73549,000000,Vitrified Clay,,505 Tanglewood Ln ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,90.96111387277604,"LINESTRING (-88.14084889173854 41.79266688362045,-88.14089846235785 41.79242003093429)"
2453,73550,000000,Vitrified Clay,,1008 Rosewood Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,66.1102565588692,"LINESTRING (-88.12965469721723 41.79503125262457,-88.1297454743429 41.7951686618014,-88.12974535159434 41.795196804154976)"
2454,73553,000000,Vitrified Clay,,1312 East Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,114.08016291691878,"LINESTRING (-88.1264158411905 41.791666970083064,-88.12641473937286 41.79195607855052,-88.12641466592525 41.791980038827234)"
2455,73564,000000,Vitrified Clay,,1156 Greensfield Dr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,107.0542559167721,"LINESTRING (-88.12555397474844 41.785602959372916,-88.12579699359331 41.78583367613338)"
2456,73565,000000,Vitrified Clay,,1012 Buckingham Dr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,108.8838261267019,"LINESTRING (-88.12547895951552 41.7879532634031,-88.12563341120516 41.78784433876829,-88.12576877986001 41.78774774231444)"
2457,73571,000000,Vitrified Clay,,1298 Haverhill Cr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,101.38583191209352,"LINESTRING (-88.12113896390832 41.78550152571928,-88.12119587099004 41.78563078324699,-88.12125149083799 41.78576669024205)"
2458,73574,000000,Vitrified Clay,,1208 Greensfield Dr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,96.95186918283416,"LINESTRING (-88.12412115404253 41.78649713852776,-88.12422276065737 41.78660427210353,-88.12432935320017 41.786712789510894)"
2459,73575,000000,Vitrified Clay,,1120 Dickens Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,104.43438708220825,"LINESTRING (-88.12771161290793 41.78982634980866,-88.1277970293617 41.78995106945952,-88.12788410388511 41.79008222419121)"
2460,73576,000000,Vitrified Clay,,1135 Wickfield Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,116.21819592082838,"LINESTRING (-88.12836059270604 41.791183169168875,-88.12822529154252 41.79100656493005,-88.12815940483837 41.79090226828034)"
2461,73580,000000,Vitrified Clay,,1107 Samstag Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,85.9517729491102,"LINESTRING (-88.12286633967838 41.78967285406236,-88.12268122395221 41.78957439519468,-88.12260895782781 41.7895367148914)"
2462,73581,000000,Vitrified Clay,,1015 Amberwood Cr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,73.76058498422624,"LINESTRING (-88.12928085180222 41.79628613924925,-88.12919022901815 41.79612076571109,-88.12919530965287 41.79609738967737)"
2463,73582,000000,Vitrified Clay,,1111 Wickfield Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,89.44607238710226,"LINESTRING (-88.12891753081193 41.79086593421916,-88.12878254609062 41.790729162272676,-88.12872139508755 41.79066919735793)"
2464,73583,000000,Vitrified Clay,,1236 Marls Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,82.45601079309762,"LINESTRING (-88.1255236203446 41.79024626517565,-88.12535963904888 41.79031129145335,-88.1252501636149 41.790280856383305)"
2465,73584,000000,Vitrified Clay,,1208 Harmony Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,102.81904688666943,"LINESTRING (-88.12450160956722 41.79100325353543,-88.12447608877034 41.79119846757512,-88.12447668179031 41.791284486459254)"
2466,73586,000000,Vitrified Clay,,1163 Wickfield Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,96.56240376948949,"LINESTRING (-88.12764253771087 41.79122591254621,-88.12778389249858 41.79112585270155,-88.12794334088885 41.79112957455506)"
2467,73588,000000,Vitrified Clay,,1082 Stone Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,84.95482064348676,"LINESTRING (-88.12477605934028 41.78894149325887,-88.12490322567155 41.78900643482682,-88.12503369684396 41.78907255451622)"
2468,73589,000000,Vitrified Clay,,1217 Brighton Rd ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,74.6069492458823,"LINESTRING (-88.12381053492138 41.78897689704012,-88.1239165930329 41.78884953799824,-88.12395903226032 41.78880503394829)"
2469,73591,000000,Vitrified Clay,,1289 Haverhill Cr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,58.20864583563669,"LINESTRING (-88.12109213931228 41.785970098365496,-88.12102504491648 41.78583107915106,-88.12102037524072 41.785819671038034)"
2470,73592,000000,Vitrified Clay,,1205 Greensfield Dr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,55.28463748593768,"LINESTRING (-88.12460945691406 41.786738099214084,-88.1244921322548 41.786632784053126,-88.12447844087923 41.78662238609428)"
2471,73594,000000,Vitrified Clay,,1021 Buckingham Dr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,63.76725208588957,"LINESTRING (-88.12632900807459 41.78799931118559,-88.12617456070444 41.788083227414255,-88.12613978989309 41.788102120025194)"
2472,73595,000000,Vitrified Clay,,1265 Marls Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,69.49973286173915,"LINESTRING (-88.12374651158423 41.79014272941447,-88.12389643625937 41.79005734785288,-88.12394932027333 41.79002722902299)"
2473,73596,000000,Vitrified Clay,,1164 Dickens Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,77.05848481058496,"LINESTRING (-88.1255783100862 41.79118512036491,-88.12574058640618 41.791139048710605,-88.12577753098407 41.79107788099687,-88.125793316335 41.79108621444649)"
2474,73597,000000,Vitrified Clay,,1167 Greensfield Dr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,59.02281495138826,"LINESTRING (-88.12520169748692 41.786392243516765,-88.12506207197973 41.78626848512941)"
2475,73601,000000,Vitrified Clay,,1281 Haverhill Cr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,33.32604224035451,"LINESTRING (-88.12064358751647 41.786051002788525,-88.12054788003483 41.78605482677213,-88.12052156340194 41.786055875567925)"
2476,73602,000000,Vitrified Clay,,1031 N Wright St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,122.74746775912806,"LINESTRING (-88.13933904904546 41.78765901052549,-88.13956932477451 41.78752177432736,-88.13965277404006 41.78742337223627)"
2477,73604,000000,Vitrified Clay,,26w130 Bauer Rd ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,160.34633035997106,"LINESTRING (-88.13276415020124 41.7934086316708,-88.13276733745484 41.79316505809606,-88.13276990733686 41.792968614628485)"
2478,73605,000000,Vitrified Clay,,720 E Ogden Av Hm,6",,Sewage,True,True,Private,Private,20100421101515,Esri,152.3842105114609,"LINESTRING (-88.13499295472876 41.78672946318437,-88.1354453377926 41.78697492025591)"
2479,73607,000000,Vitrified Clay,,1221 N Loomis St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,125.49370757241664,"LINESTRING (-88.14278716450592 41.79057397752813,-88.14260031698387 41.790631756086526,-88.14236276108852 41.79070711244827)"
2480,73608,000000,Vitrified Clay,,1309 N Loomis St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,138.87378562577908,"LINESTRING (-88.14310468171242 41.79104080807734,-88.14286994135598 41.79110762211379,-88.14263229852402 41.79118300319164)"
2481,73612,000000,Vitrified Clay,,1531 Silver Maple Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,150.65303405278127,"LINESTRING (-88.14029548575594 41.79508369319461,-88.14019386849995 41.79495712526546,-88.1398389876709 41.794946440449266)"
2482,73613,000000,Vitrified Clay,,26w330 Case St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,127.67801958467507,"LINESTRING (-88.13718413802589 41.79031736518955,-88.13691003261818 41.790324811939776,-88.13671625368754 41.79033007530701)"
2483,73616,000000,Vitrified Clay,,1105 N Loomis St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,98.18124444833553,"LINESTRING (-88.1416239316256 41.788161014439474,-88.14163822504239 41.78804870285198,-88.14163960830963 41.787892087224776)"
2484,73617,000000,Vitrified Clay,,1541 N Columbia St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,118.14458197580726,"LINESTRING (-88.13729755416257 41.79544669662456,-88.13709396220338 41.79544650029177,-88.13686430981778 41.795448961915326)"
2485,73618,000000,Vitrified Clay,,1561 Shenandoah Ln ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,124.62109117586343,"LINESTRING (-88.13605347889734 41.796545301812834,-88.13585203409272 41.796525339551714,-88.13559975258761 41.79650443590663)"
2486,73622,000000,Vitrified Clay,,1508 Maple Knoll Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,110.65395500721701,"LINESTRING (-88.14048685294385 41.79393657952598,-88.14069639491711 41.793944272624216,-88.14089215402102 41.793951458759366)"
2487,73623,000000,Vitrified Clay,,1133 N Loomis St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,117.45870845936423,"LINESTRING (-88.14217861462821 41.78937313314848,-88.1420248369602 41.78942134183929,-88.14177654800999 41.7894884570311)"
2488,73625,19640101,Vitrified Clay,,113 Tanglewood Ln ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,115.8505038351325,"LINESTRING (-88.14550101339934 41.79221590582773,-88.14551436558082 41.791898134374094)"
2489,73626,000000,Vitrified Clay,,221 Tanglewood Ln ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,115.5114873229987,"LINESTRING (-88.14363248650153 41.792966682738864,-88.14365662671918 41.79281015161386,-88.14367404833635 41.792651257644806)"
2490,73627,000000,Vitrified Clay,,1525 N Columbia St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,112.9655131078886,"LINESTRING (-88.13727254934582 41.79463239658008,-88.13707978917724 41.794628785633144,-88.1368583401178 41.79462859349111)"
2491,73630,000000,Vitrified Clay,,941 Rosewood Av ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,102.27776743618668,"LINESTRING (-88.13084844651462 41.795461353781945,-88.13087546094309 41.79532691453507,-88.1308721143367 41.79518220628454)"
2492,73634,000000,Vitrified Clay,,5s634 Columbia St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,108.90764306439874,"LINESTRING (-88.13697242371768 41.787519991419366,-88.13678462251247 41.787526481514014,-88.13657350417759 41.78753377680925)"
2493,73635,000000,Vitrified Clay,,5s412 Vest St ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,111.70570194174579,"LINESTRING (-88.13251160202704 41.79175713364837,-88.1321335878238 41.79176946354832,-88.1321023456587 41.79177021645223)"
2494,73792,000000,Vitrified Clay,,1029 Forest View Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,127.44600669491118,"LINESTRING (-88.18284266950042 41.78739146626753,-88.18307375510918 41.78729953024156,-88.18325531030116 41.7872272983082)"
2495,73793,000000,Vitrified Clay,,939 Erb Farm Ln ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,118.35146654958305,"LINESTRING (-88.16731703417176 41.79544216554465,-88.16731820892518 41.79527134539221,-88.16731931371154 41.79511737808743)"
2496,73797,000000,Vitrified Clay,,1052 Royal Bombay Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,110.3243420559804,"LINESTRING (-88.17303165029669 41.78778416440718,-88.17292918548848 41.78769404101139,-88.17276990074122 41.787553317911275)"
2497,73798,000000,Vitrified Clay,,1028 Briergate Dr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,119.03417774011653,"LINESTRING (-88.1692135712246 41.78859089095519,-88.16931330497914 41.788437934054755,-88.16940499338098 41.78829731494777)"
2498,73799,000000,Vitrified Clay,,1027 Thunderbird Ln ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,110.3986359458115,"LINESTRING (-88.17235822849464 41.79064755361017,-88.17240945884346 41.79049288744393,-88.17245563033383 41.79035348609998)"
2499,73800,000000,Vitrified Clay,,1019 Ferncroft Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,118.1380882064115,"LINESTRING (-88.17166528011902 41.79160126984314,-88.17167770870535 41.79143584952492,-88.17168960314721 41.7912775746178)"
2500,73803,000000,Vitrified Clay,,985 W Bauer Rd ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,118.50898757665087,"LINESTRING (-88.169077842468 41.7946433817618,-88.1691107993318 41.794514256798585,-88.16915937757355 41.79432393230437)"
2501,73804,000000,Vitrified Clay,,1441 Sugar Creek Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,109.63466561070314,"LINESTRING (-88.17173886541379 41.792076467950416,-88.1716004978467 41.79221679533011,-88.17148217189553 41.79230709789229)"
2502,73806,000000,Vitrified Clay,,1450 Inverrary Dr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,94.93919782135967,"LINESTRING (-88.17392119588045 41.79292821272265,-88.17394346066472 41.79282099618965,-88.17397465803262 41.79267076107686)"
2503,73808,000000,Vitrified Clay,,1517 Heatherton Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,98.45707559399285,"LINESTRING (-88.17140195176943 41.79578032912878,-88.17155015332798 41.79555742313338,-88.17156278753397 41.79553841990322)"
2504,73809,000000,Vitrified Clay,,1209 W Bauer Rd ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,118.60862146812863,"LINESTRING (-88.17472867993277 41.79642115152566,-88.17490519832512 41.79634129990679,-88.17510020876401 41.79625187924375)"
2505,73810,000000,Vitrified Clay,,1600 Mirror Lake Dr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,96.32157477549934,"LINESTRING (-88.17288960871342 41.79652624940797,-88.1728597529292 41.79637903295637,-88.1728366115361 41.79626490602539)"
2506,73812,000000,Vitrified Clay,,812 Heatherton Dr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,87.90673866913761,"LINESTRING (-88.17499987540495 41.78455799399086,-88.17527945687341 41.784462794675925,-88.17529326285515 41.78445809306774)"
2507,73813,000000,Vitrified Clay,,1045 Royal Bombay Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,99.09031532109671,"LINESTRING (-88.17313190747429 41.78832528133673,-88.17294670477268 41.788210667962545,-88.17290272200628 41.78818496874515,-88.17293543029997 41.78814100742526)"
2508,73819,000000,Vitrified Clay,,1017 Briergate Dr ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,74.86453420536068,"LINESTRING (-88.16862162013366 41.787783387940785,-88.16851482232885 41.787950129469706,-88.16850295628208 41.787968652698915)"
2509,73823,000000,Vitrified Clay,,1444 Sugar Creek Ct ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,73.795157488378,"LINESTRING (-88.17106464410615 41.79245785153206,-88.17127512800683 41.79239588595899,-88.17131647247722 41.79238371286575)"
2510,73825,000000,Vitrified Clay,,962 W Bauer Rd ,6",,Sewage,True,True,Private,Private,20100421101515,Esri,75.57292778735997,"LINESTRING (-88.16764288261004 41.79393036190514,-88.16762483883882 41.79410420729287,-88.1676214213064 41.794137133966494)"
