WKT,objectid,facilityid,installdate,locdesc,rotation,diameter,valvetype,enabled,activeflag,ownedby,maintby,lastupdate,lasteditor,globalid,comments,doc_name,status,ResourceID
POINT (-122.420666196639 37.8087236633529),249,,2002-07-01T00:00:00.000,,,2.5,RPBP,1,,1,,2011-02-07T00:00:00.000,GB,{D29BDBFD-D172-410C-8118-CA8D5DFEC8A4},; RPBP,,ACT,D29BDBFD-D172-410C-8118-CA8D5DFEC8A4
POINT (-122.391529445594 37.7918534702635),250,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{9F74F120-07C8-41A0-96DE-80A42BEBA416},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,9F74F120-07C8-41A0-96DE-80A42BEBA416
POINT (-122.396536817245 37.7983353549393),251,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{6422944C-D035-4919-9AE7-14652473A12F},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,6422944C-D035-4919-9AE7-14652473A12F
POINT (-122.396823537908 37.7953750679104),252,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{3692D4FA-A247-4131-B3C0-24A6082A2C13},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,3692D4FA-A247-4131-B3C0-24A6082A2C13
POINT (-122.396491001578 37.798291385497),253,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{6BC8257C-61F4-4156-B4C0-8CE3F89E7DBE},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,6BC8257C-61F4-4156-B4C0-8CE3F89E7DBE
POINT (-122.394314617778 37.7949091927862),254,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{9FA2458A-5BB4-410C-9A19-D65B5837541C},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,9FA2458A-5BB4-410C-9A19-D65B5837541C
POINT (-122.394114120317 37.7947889172456),255,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{1F67FF59-130A-4F34-92B1-493AEB323052},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,1F67FF59-130A-4F34-92B1-493AEB323052
POINT (-122.396853651827 37.7954491243438),256,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{295C69B5-C79C-4CF7-AFAC-1CBC842B06FA},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,295C69B5-C79C-4CF7-AFAC-1CBC842B06FA
POINT (-122.395543213182 37.796554958021),257,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{1B7643D7-F014-4160-9809-E82E8BC3D646},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,1B7643D7-F014-4160-9809-E82E8BC3D646
POINT (-122.394595729752 37.7962613764652),258,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{D0C2C389-AD54-4F76-9DA8-87FB72FB5AE0},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,D0C2C389-AD54-4F76-9DA8-87FB72FB5AE0
POINT (-122.395923127981 37.7966189194063),259,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{563AA881-3293-4E80-91BA-61772789DD90},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,563AA881-3293-4E80-91BA-61772789DD90
POINT (-122.393347419959 37.7931463949283),260,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{A55F6E8B-C5F0-43B6-9101-61BE005FCA68},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,A55F6E8B-C5F0-43B6-9101-61BE005FCA68
POINT (-122.396869013758 37.7955333881544),261,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{66932F05-CC4A-4807-9BC3-B98C2292C69B},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,66932F05-CC4A-4807-9BC3-B98C2292C69B
POINT (-122.389413189119 37.7913386977341),262,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{345D8A4B-2859-49EE-BB3A-8D06483C2FA8},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,345D8A4B-2859-49EE-BB3A-8D06483C2FA8
POINT (-122.397313686394 37.7991425330973),263,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{15EFDCF7-F953-4B73-BBEF-6ACD90230F42},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,15EFDCF7-F953-4B73-BBEF-6ACD90230F42
POINT (-122.398263747069 37.7961184909395),264,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{17DE7410-BE2C-47F7-BD86-ADB84703A12B},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,17DE7410-BE2C-47F7-BD86-ADB84703A12B
POINT (-122.390242712462 37.7908039207938),265,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{4A88B855-E137-4339-960C-B2CC996C8E9C},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,4A88B855-E137-4339-960C-B2CC996C8E9C
POINT (-122.39179343783 37.7920499073267),266,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{2B2BFB01-51CA-4958-A1C1-80E503246F39},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,2B2BFB01-51CA-4958-A1C1-80E503246F39
POINT (-122.390136107056 37.790808617244),267,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{640236AE-5929-447F-9011-15100E646603},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,640236AE-5929-447F-9011-15100E646603
POINT (-122.391329561197 37.7916699036984),268,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{71BF0393-BD70-4A5B-BF42-D231C31CE2DF},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,71BF0393-BD70-4A5B-BF42-D231C31CE2DF
POINT (-122.396672273098 37.7954860354951),269,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{C3CD893B-DD5D-4867-B947-B6B58E95DB3C},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,C3CD893B-DD5D-4867-B947-B6B58E95DB3C
POINT (-122.389451914909 37.7887075004063),270,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{D9EB4D18-0475-44C1-AC58-64F7751B326E},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,D9EB4D18-0475-44C1-AC58-64F7751B326E
POINT (-122.392255652642 37.7924295303045),271,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{8CEE406D-3088-4254-B678-FAD44031C676},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,8CEE406D-3088-4254-B678-FAD44031C676
POINT (-122.397021723033 37.7962538259363),272,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{BA7F1602-BE53-48DC-B690-473CE140B06D},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,BA7F1602-BE53-48DC-B690-473CE140B06D
POINT (-122.394297633607 37.7949055003093),273,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{DD11BFDE-BF5E-42F0-9E94-131CC15F2E37},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,DD11BFDE-BF5E-42F0-9E94-131CC15F2E37
POINT (-122.389968149288 37.790942076724),274,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{3E0F5242-BF5C-4185-8B64-10B95054F3D8},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,3E0F5242-BF5C-4185-8B64-10B95054F3D8
POINT (-122.391793337954 37.7920786611048),275,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{A03BF730-3297-41EA-AC87-B853A63F9394},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,A03BF730-3297-41EA-AC87-B853A63F9394
