OBJECTID,FACILITYID,INSTALLDATE,FITTINGTYPE,LOCDESC,ROTATION,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,LASTUPDATE,LASTEDITOR,GlobalID,geometry,ResourceID
23590,WFIT-23590,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{22E3D4CF-F9EB-45FB-8961-770D82E4316F},POINT (-88.12458405090553 41.78900534211055),f8ec5313-1d7b-4bee-b31f-6e1df64654fe
23591,WFIT-23591,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{AB990716-ED4E-40CA-A98D-C50EDED18479},POINT (-88.12806952765152 41.793117958479336),147a1899-663b-4f42-b2e0-42b6722c12fc
23592,WFIT-23592,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{1036219A-3021-4E30-8EA3-A6F3883C92CD},POINT (-88.12070492559359 41.786636570367264),4821b12c-d898-42eb-b5fd-dffab6fbf2a6
23593,WFIT-23593,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{732491C0-C7D6-4A82-86A5-2DF4C8669002},POINT (-88.12524722326013 41.78888171548146),45093cad-e4a7-4a32-979d-e9337c94046f
23594,WFIT-23594,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{975DA4C7-C02F-4793-8857-579EE310BA8F},POINT (-88.12861100627198 41.788724063304876),7c8fe3ef-5748-467f-baa3-a48c87d68842
23595,WFIT-23595,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{A7467262-82E0-44C0-BFEA-FA608AD1CB4A},POINT (-88.12334439050068 41.787749711102855),81663116-75ee-4dcb-b286-3b6a7c7ff151
23596,WFIT-23596,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{79CAAC0B-10FE-4DD1-9D5D-0E99BF0B81FC},POINT (-88.12108905009511 41.7856881199859),ac7c5050-13cb-485b-aceb-4a1ad08373e2
23597,WFIT-23597,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{7CD145D1-DFF1-4352-BD0A-0FB354106466},POINT (-88.12520500844494 41.78602948737285),4ebbb113-84bc-4c10-a8ee-aadb365335d1
23598,WFIT-23598,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{F0E146E4-7092-45E6-8F62-52210D0A7A82},POINT (-88.12325468583107 41.78724068424536),dc9492fb-84ef-4256-95dd-0f02b68038fb
23599,WFIT-23599,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{1CE29FCE-F6F5-4D82-9AC4-050556F16C4D},POINT (-88.12624590288118 41.78840702794983),55f618cb-b7dc-4a90-89c7-997e744793ee
