WKT,objectid,facilityid,accountid,metservice,servicetype,installdate,locdesc,rotation,locationid,critical,enabled,activeflag,ownedby,maintby,lastupdate,lasteditor,globalid,comments,doc_name,status,ResourceID
POINT (-122.387040081228 37.7736201923948),509,,,,METER,,,,,,1,,1,,2013-01-10T15:30:37.000,JAH,{EA1A05F9-6131-49CA-9BBD-A9A447AA60B4},DEDUCT,,ACT,EA1A05F9-6131-49CA-9BBD-A9A447AA60B4
POINT (-122.387033978552 37.7734707503086),510,,,,METER,,,,,,1,,1,,2013-01-10T15:30:40.000,JAH,{6A51BE80-BFE2-4A8B-AB71-88DB54C66791},DEDUCT,,ACT,6A51BE80-BFE2-4A8B-AB71-88DB54C66791
POINT (-122.388359401483 37.7762873266976),511,,,,METER,,,,,,1,,8,,2013-07-30T14:29:00.000,JAH,{4FDAF585-937C-43A8-84A7-882C66138D6C},From China Basin Park Drains,,ACT,4FDAF585-937C-43A8-84A7-882C66138D6C
POINT (-122.389802488772 37.7763593448912),512,,,,METER,,,,,,1,,8,,2013-07-30T14:29:00.000,JAH,{CEBBC9AE-09DE-41A2-9BE6-2DB6ADB705A6},From China Basin Park Drains,,ACT,CEBBC9AE-09DE-41A2-9BE6-2DB6ADB705A6
POINT (-122.416069920154 37.8082412615882),513,,,,METER,,,,,,1,,8,,2013-07-31T16:57:42.000,JAH,{244D601E-9A16-49D4-9427-ACC639DA436B},Master M. for restaurants. Currently SFWD is the account holder.,Field Investigation,ACT,244D601E-9A16-49D4-9427-ACC639DA436B
POINT (-122.404944957666 37.8069361077707),514,,,,METER,,,,,,1,,1,,2014-01-21T10:41:05.000,JAH,{1B0F13C4-3CF5-423B-BFB4-D8FB874D848D},,Surevey,ACT,1B0F13C4-3CF5-423B-BFB4-D8FB874D848D
POINT (-122.384090899369 37.7503730015177),515,,,,METER,,,,,,1,,8,,2014-09-19T10:38:50.000,JAH,{2CE9070F-CDB1-4A82-B137-158E45B24F79},Acc#1952985751,P#6490.2,ACT,2CE9070F-CDB1-4A82-B137-158E45B24F79
POINT (-122.415917597461 37.8089820758667),516,,,,WM,,,,,,1,,0,,2011-02-03T00:00:00.000,JS,{5A255B37-052C-4044-98FC-CB2CF82DC4C6},meter; ; ,1498J_TaylorSt_Improvements_UT-REF,ACT,5A255B37-052C-4044-98FC-CB2CF82DC4C6
POINT (-122.415923023077 37.8089535743476),517,,,,WM,,,,,,1,,0,,2011-02-03T00:00:00.000,JS,{47DB72C1-82DB-4607-9B90-788ECF95E923},meter; ; ,1498J_TaylorSt_Improvements_UT-REF,ACT,47DB72C1-82DB-4607-9B90-788ECF95E923
POINT (-122.415966483664 37.8086466079735),518,,,,METER,,,,,,1,,0,,2011-02-03T00:00:00.000,JS,{BCDF93AD-9E8E-4760-8E05-6547E4EF9062},meter; WATER_NODES_LINE; ,1498J_TaylorSt_Improvements_UT-REF,ACT,BCDF93AD-9E8E-4760-8E05-6547E4EF9062
POINT (-122.415922487692 37.8088940084897),519,,,,METER,,,,,,1,,0,,2011-02-03T00:00:00.000,JS,{78D21213-6485-460E-8AB1-6DC75C1DB479},meter; WATER_NODES_LINE; ,1498J_TaylorSt_Improvements_UT-REF,ACT,78D21213-6485-460E-8AB1-6DC75C1DB479
