WKT,objectid,facilityid,installdate,material,diameter,watertype,transmiss,enabled,activeflag,ownedby,maintby,lastupdate,lasteditor,globalid,comments,doc_name,status,shape_Length,ResourceID
"MULTILINESTRING M ((-122.406431853744 37.8071425111604 0,-122.406397645746 37.8071852028699 0))",2161,,,DIP,6,DW,,1,,8,,2014-10-24T17:06:43.000,JAH,{6576622E-A35B-4177-B0DC-BEADAF7B22D5},,16248-4014-W,ACT,18.42046694,6576622E-A35B-4177-B0DC-BEADAF7B22D5
"MULTILINESTRING M ((-122.406059129157 37.8070262657784 0,-122.406041770307 37.8070479302205 0,-122.4060727286 37.8070635453126 0))",2162,,,DIP,8,FW,,1,,1,,2014-10-24T16:59:44.000,JAH,{9FB27136-FA15-4ED4-9151-592E3DD958DE},,16248-4014-W,ACT,19.94570912,9FB27136-FA15-4ED4-9151-592E3DD958DE
"MULTILINESTRING M ((-122.404166082673 37.8059357563796 0,-122.40417340948 37.805929399011 0,-122.404177445141 37.8059258984422 0,-122.404186078153 37.8059321612447 0,-122.404174715709 37.8059420200838 0,-122.404167702218 37.8059481047346 0,-122.404172172099 37.8059513481135 0,-122.40417664198 37.8059545914923 0,-122.404181112997 37.8059578348525 0))",2163,,1992-07-01T00:00:00.000,DIP,4,DW,,1,,8,,2014-10-24T17:22:29.000,JAH,{7AF1F512-BEEA-4463-8604-D9EFE7F5D407},,16248-4014-W,ACT,21.36052169,7AF1F512-BEEA-4463-8604-D9EFE7F5D407
"MULTILINESTRING M ((-122.386992506691 37.7741992088462 0,-122.38698612955 37.7742009610427 0))",2164,,,CPR,2,CW,,1,,1,,2014-06-03T14:40:19.000,JAH,{F5BF0DAD-8E0B-487E-85B8-5872C537FF68},On Shed Wall;,Field Visit,ACT,1.950451876,F5BF0DAD-8E0B-487E-85B8-5872C537FF68
"MULTILINESTRING M ((-122.386992506691 37.7741992088462 0,-122.386985996059 37.7741289852528 0,-122.386978377016 37.7740468176258 0))",2165,,2011-07-01T00:00:00.000,CPR,2,DW,,1,,12,,2014-11-05T17:59:35.000,JAH,{AED8D7B6-4A75-441A-95BF-008793EBE46C},On Shed Trusses,Field Visit,ACT,55.63894592,AED8D7B6-4A75-441A-95BF-008793EBE46C
"MULTILINESTRING M ((-122.381725026562 37.750688239279 0,-122.381724243038 37.7506800237085 0))",2166,,1963-07-01T00:00:00.000,DIP,4,CW,,1,,1,,2014-03-12T11:23:18.000,JAH,{7E6D36BB-E63C-4547-9830-BA073B7B250F},Blanked Tee.,7370-86-1,ACT,3.000015759,7E6D36BB-E63C-4547-9830-BA073B7B250F
"MULTILINESTRING M ((-122.380259800281 37.7509202146721 0,-122.380259015782 37.7509119991103 0))",2167,,1963-07-01T00:00:00.000,DIP,4,CW,,1,,1,,2014-03-12T11:23:18.000,JAH,{06AC4A71-6D11-45F5-97A3-3D2A6C7E9670},Blanked Tee.,7370-86-1,ACT,3.000033967,06AC4A71-6D11-45F5-97A3-3D2A6C7E9670
"MULTILINESTRING M ((-122.37825239677 37.7510409554799 0,-122.378251612492 37.7510327399049 0))",2168,,1963-07-01T00:00:00.000,DIP,4,CW,,1,,1,,2014-03-12T11:23:18.000,JAH,{2D0A1E7F-8E1A-45C6-879A-71F5AE620848},Blanked Tee.,7370-86-1,ACT,3.000033968,2D0A1E7F-8E1A-45C6-879A-71F5AE620848
"MULTILINESTRING M ((-122.384394295444 37.7493073365049 0,-122.384416477457 37.7495396726701 0))",2169,,,UNK,2.5,CW,,1,,1,,2011-02-07T00:00:00.000,JAH,{A81DE3A5-8112-4DE0-88D2-AA0D7B7E16AB},; ,8660-80-1,ACT,84.84089779,A81DE3A5-8112-4DE0-88D2-AA0D7B7E16AB
"MULTILINESTRING M ((-122.384416477457 37.7495396726701 0,-122.384314737594 37.7495457965639 0,-122.383998828976 37.7495648117403 0,-122.383990296253 37.7495669218122 0))",2170,,,UNK,2.5,CW,,1,,1,,2011-02-07T00:00:00.000,JAH,{CE186F6C-D52C-4D5F-997D-DC8B38A2B123},; ,8660-80-1,ACT,123.6810204,CE186F6C-D52C-4D5F-997D-DC8B38A2B123
"MULTILINESTRING M ((-122.379850387273 37.7493945039283 0,-122.379851171711 37.7494027194949 0))",2171,,1963-07-01T00:00:00.000,DIP,4,CW,,1,,1,,2014-03-12T11:23:18.000,JAH,{75CB98AA-2411-43C2-934D-850DC414D364},Blanked Tee.,7370-86-1,ACT,3.000033968,75CB98AA-2411-43C2-934D-850DC414D364
"MULTILINESTRING M ((-122.381785479023 37.74927808464 0,-122.381768479144 37.7490999499774 0,-122.381756485857 37.7491006714017 0,-122.381716614719 37.7491016937801 0,-122.381716223533 37.7490975859847 0))",2172,,1963-07-01T00:00:00.000,UNK,4,DW,,1,,1,,2014-03-12T15:58:49.000,JAH,{A13527A1-6D70-409E-B596-03E84749B93E},Shed Supply,7370-86-1,ACT,81.55937705,A13527A1-6D70-409E-B596-03E84749B93E
"MULTILINESTRING M ((-122.382376610747 37.7492425139929 0,-122.382388761692 37.7493698227673 0,-122.382393096059 37.7494152423125 0))",2173,,,UNK,6,CW,,1,,1,,2011-02-07T00:00:00.000,MBOE,{C56F3A03-456A-48A9-B0E2-FFAE1B2B6E18},; ,,ACT,63.07410888,C56F3A03-456A-48A9-B0E2-FFAE1B2B6E18
"MULTILINESTRING M ((-122.383031757489 37.7492030885892 0,-122.38301475464 37.7490249541042 0,-122.383059573806 37.7490214504844 0,-122.383059113705 37.7490167760285 0))",2174,,1963-07-01T00:00:00.000,UNK,4,DW,,1,,1,,2014-03-12T15:58:49.000,JAH,{50D74F34-AADC-4499-8495-EC7365762EF7},Shed Supply,7370-86-1,ACT,79.77640393,50D74F34-AADC-4499-8495-EC7365762EF7
"MULTILINESTRING M ((-122.384106652755 37.7492522419441 0,-122.384108644688 37.7492731002472 0,-122.384109728263 37.7492844553476 0))",2175,,,UNK,6,CW,,1,,1,,2011-02-07T00:00:00.000,MBOE,{44B91CB9-A262-4F31-8A8F-4283FCBABC9E},; ,,ACT,11.76318761,44B91CB9-A262-4F31-8A8F-4283FCBABC9E
"MULTILINESTRING M ((-122.385703157899 37.7491644052282 0,-122.385442024957 37.7491801262327 0,-122.384637892507 37.7492285338839 0,-122.384596482373 37.7492509938041 0,-122.384563691521 37.7492529673488 0,-122.384556793367 37.7492533822735 0,-122.384549895235 37.7492537980987 0))",2176,,,UNK,8,CW,,1,,8,,2014-03-12T16:11:05.000,JAH,{315BB520-CEA3-46F5-832D-8A91D52B90BF},,7370-86-1,ACT,336.882447,315BB520-CEA3-46F5-832D-8A91D52B90BF
"MULTILINESTRING M ((-122.385563038441 37.7504474498785 0,-122.385442024957 37.7491801262327 0))",2177,,,UNK,0,CW,,1,,8,,2014-03-12T16:12:59.000,JAH,{A365CD50-353D-4231-804D-BB37DBE1F4CD},,7370-86-1,ACT,462.7818814,A365CD50-353D-4231-804D-BB37DBE1F4CD
"MULTILINESTRING M ((-122.381724243038 37.7506800237085 0,-122.381768351865 37.750678412773 0,-122.381770342019 37.7506855122989 0,-122.381779269073 37.7507790455135 0,-122.381780211445 37.7507889167803 0))",2178,,1966-07-01T00:00:00.000,UNK,1.5,DW,,1,,1,,2014-03-12T17:52:21.000,JAH,{8AA80EE4-B327-43DE-BC0B-EC5856E35EAD},,7387-86-1,ACT,53.17396568,8AA80EE4-B327-43DE-BC0B-EC5856E35EAD
"MULTILINESTRING M ((-122.382450760565 37.751018097206 0,-122.382279993358 37.7510283734087 0,-122.382037058286 37.7510429913045 0))",2179,,1966-07-01T00:00:00.000,UNK,0.75,DW,,1,,1,,2014-03-12T17:56:53.000,JAH,{5FE2A225-B409-4F7F-B8D4-FC004A9DE95C},,7387-86-1,ACT,119.9503836,5FE2A225-B409-4F7F-B8D4-FC004A9DE95C
"MULTILINESTRING M ((-122.382063866247 37.7507619207042 0,-122.382068306827 37.7508084461442 0))",2180,,1966-07-01T00:00:00.000,UNK,0.75,DW,,1,,1,,2014-03-12T17:53:19.000,JAH,{600EA2F0-A90E-4C95-B6C2-5015767093C2},,7387-86-1,ACT,16.98940661,600EA2F0-A90E-4C95-B6C2-5015767093C2
"MULTILINESTRING M ((-122.381779269073 37.7507790455135 0,-122.381935872907 37.7507704651853 0,-122.382063866247 37.7507619207042 0,-122.382424239176 37.7507402359235 0,-122.382429977764 37.7508003534552 0,-122.382446360005 37.7509719965117 0,-122.382450760565 37.751018097206 0))",2181,,1966-07-01T00:00:00.000,UNK,1,DW,,1,,1,,2014-03-12T17:53:19.000,JAH,{E63212C0-1C02-4B86-B4A0-80F233C3ED46},,7387-86-1,ACT,288.4728973,E63212C0-1C02-4B86-B4A0-80F233C3ED46
"MULTILINESTRING M ((-122.382429977764 37.7508003534552 0,-122.382416455409 37.7508011669576 0))",2182,,1966-07-01T00:00:00.000,UNK,0.75,DW,,1,,1,,2014-03-12T17:53:19.000,JAH,{5D75A53F-FAA3-4720-9ED8-8300B1993207},,7387-86-1,ACT,3.920728888,5D75A53F-FAA3-4720-9ED8-8300B1993207
"MULTILINESTRING M ((-122.382446360005 37.7509719965117 0,-122.382440515652 37.7509723485149 0))",2183,,1966-07-01T00:00:00.000,UNK,0.75,DW,,1,,1,,2014-03-12T17:53:19.000,JAH,{6CCC767B-0EF6-4D91-B930-3C5EE53B1EA0},,7387-86-1,ACT,1.694543841,6CCC767B-0EF6-4D91-B930-3C5EE53B1EA0
"MULTILINESTRING M ((-122.382279993358 37.7510283734087 0,-122.38227955118 37.7510237329117 0))",2184,,1966-07-01T00:00:00.000,UNK,0.75,DW,,1,,1,,2014-03-12T17:53:19.000,JAH,{7AC1B41E-F068-481D-9F42-ACA00421B2D9},,7387-86-1,ACT,1.694525643,7AC1B41E-F068-481D-9F42-ACA00421B2D9
"MULTILINESTRING M ((-122.383990296253 37.7495669218122 0,-122.383349639759 37.7496070771119 0,-122.383350390721 37.7496149417226 0))",2185,,,UNK,1.25,CW,,1,,1,,2014-03-31T17:22:27.000,JAH,{B3EC1DDE-FB65-4951-A87B-DC55607397B6},,8660-80-1,ACT,188.6748629,B3EC1DDE-FB65-4951-A87B-DC55607397B6
"MULTILINESTRING M ((-122.383350390721 37.7496149417226 0,-122.383375254088 37.7498754071242 0))",2186,,,UNK,0.75,CW,,1,,1,,2014-03-31T17:22:30.000,JAH,{9F801593-1EF6-47C8-B1E9-4EB6830DC90C},,8660-80-1,ACT,95.11260364,9F801593-1EF6-47C8-B1E9-4EB6830DC90C
"MULTILINESTRING M ((-122.38698612955 37.7742009610427 0,-122.386985610359 37.7741953620181 0))",2187,,,CPR,2,DW,,1,,1,,2014-11-05T18:00:38.000,JAH,{3ABD8C5C-352A-4C59-88C2-00E79DAE25D4},,Field Visit,ACT,2.044238461,3ABD8C5C-352A-4C59-88C2-00E79DAE25D4
"MULTILINESTRING M ((-122.38488901388 37.7743292804026 0,-122.384906267539 37.7743282727466 0))",2188,,,CPR,2,DW,,1,,1,,2014-09-26T17:56:20.000,JAH,{EF04D15D-79B5-463D-808F-9D84FD3DBC25},Water supply for ABD RR; Pipe on outside wall of Shed;,Field Visit,ACT,5.000202088,EF04D15D-79B5-463D-808F-9D84FD3DBC25
